question,answer,image_id
what is on the sofa,pillow,image1236
what is the object close to the wall above the chair,window,image1093
how many doors are there in the room,5,image12
what is the object close to the wall above the bed,picture,image914
what is the object on the spice stand,spice_bottle,image128
what is is front of the stool,container,image423
what is the object close to the wall below the window,heater,image77
what is the largest object,refridgerator,image2
what is the object on the cabinet,photo,image1159
what is in front of the sofa,table,image462
what is the biggest black object on the table,fan,image77
what is the reading materials placed close on the bookshelf,books,image16
what is stuck on the left side wall,photo,image802
what is lying on the floor in front of the bed,clothes,image1045
what is on the left side of the table,chair,image473
what is left of bed,table,image518
what is on the right table,"fruit, container, bottle",image747
what is the object on the table in the corner,plant,image1435
what colors are the garbage bins close to the wall,"white, blue",image273
what is the object on the cpu,doll,image955
what is the colour of the sink tiles,pink,image671
what is on the wall,"clock, decorative_plate",image547
how many drawer knobs are there,3,image698
what is beneath the framed picture,sofa,image1444
what is the object on the side of the game table,chair,image1244
what is on the left side of the towel,briefcase,image821
what is behind the lamps,wall,image1232
what is to the right of tray,spice_stand,image128
what is on the ceiling,light,image1382
what is the object in front of the counter,toilet,image677
what is in front of the stacked chairs and on the left side of the table,ladder,image6
what are the objects placed on the counter below the shelves,"tape_dispenser, hole_puncher, paper_holder",image12
how many furnitures are there,3,image462
what objects are on the piano,"books, pen",image979
what is near the sink,cutting_board,image137
what is the object on which the laptop is kept,table,image146
how many chairs are there,11,image1347
how many black pillows are there,6,image959
how many pictures are visible,3,image1428
what is the colour of the mat,gray,image1334
what are the objects in the shelves,books,image1040
what is on the drawers,television,image970
what is the sign board close to,wall,image36
what are the colours stuck on the refridgerator,"red, blue, green, orange, yellow",image831
how many brown objects are there,2,image1139
what is behind the chair,computer,image287
what is in the left side,window,image1365
what is beneath the audio system,books,image646
what are the objects on the bed,"pillow, blanket",image1032
what is behind the person,toy_doll,image633
what is found in front of the window,bed,image1120
what is on the stove,cooking_pan,image825
what is on the left side of the lady,drawer,image634
how many chairs are there,8,image1229
what is beneath the switch,table,image1109
what is the largest object,bed,image1066
what is the colour of the table,"black, white",image449
what is behind the bag,desk,image388
how many wall pictures are there close to the wall,3,image471
what objects are found on the ironing board,"iron_box, clothes",image968
how many bookshelves are there,3,image1216
what is the object close to the wall above the counter,blackboard,image124
what are the things on the cabinet,"toy, decorative_item",image1342
what is beneath the piano,piano_bench,image1282
what is in front of the sofa,table,image1304
what is on the left side of the cooker,key,image786
what is the object found to the left of the wardrobe,guitar,image918
what is in the stand,bottle,image562
what is on the left side of the door,curtain,image718
what is the object on the floor in front of the dustbin,toilet,image730
what is on the right side of the night stand,garbage_bin,image916
how many chairs are there,4,image1373
what is on the left side of the chair,carton,image533
what is in front of the mirror,cup,image688
how many pillows are there on the bed,1,image64
how many cobalt books are there in the bookshelf,2,image16
what is on the right side of the paper,cell_phone,image585
what is the largest object on the blanket,laundry_basket,image1007
what is the biggest object on the table,television,image936
what is the largest object,grill,image137
what is the object close to the rack in the doorway,ladder,image87
what is the object on the floor in front of the wall,cabinet,image1004
what is the object above the toilet and the sink,mirror,image738
what is the object on the floor right of the cabinet,room_divider,image633
what is on the right side of the chandelier,light,image1397
what is next to the mouse,paper,image29
how many drawers are in the table,3,image370
what are around the dining table,chair,image1440
what is on the left side of the sink,kitchen_utensils,image865
what object is found in front of the table near the storage rack,oven,image853
what object is hanged near the pink colour drawer handle,towel,image858
what is on the left side of the drawer,dishwasher,image818
what is the table made up of,glass,image805
what is on the left most side on the table,lamp,image929
what is behind the lamp,window,image488
what is on the cupboard,"tea_kettle, decorative_plate",image443
what is to the left of the shelf,bed,image418
how many chairs are there,3,image878
how many chairs are there,3,image840
what is behind the chair,window,image1294
what colors do the stools around the table have,"blue, white",image239
what is the object on the floor in front of the wall,cabinet,image543
what is hanged on the chair,jacket,image622
what is on the right side of the lamp,monitor,image93
what is to the left of the sink,sink_protector,image137
what is hanged on the wall,photo,image1295
what is in front of refridgerator,microwave,image569
what is on the night stand,lamp,image1186
how many green bags are visible,1,image1010
what is next to the table,sofa,image1292
what is stuck on the wall,photo,image1337
what is the object on the chair,bag,image811
what is behind the carton,bottle,image490
what is on the refrigerator,magnet,image831
how many pillows are there on the sofa,4,image1222
what is found in front of the window,sofa,image971
what is above the drawers,bookshelf,image1144
what is tin front of the wall,bed,image1027
what is on the table,book,image1258
what is around the table,chair,image878
how many chairs are there,1,image1082
what is in front of sofa,stand,image591
how many lamps are,3,image179
what is behind the sofa,piano,image1278
what is the black object on the table apet from the monitor,bag,image633
what color is the paper towel holder on the dining table,brown,image550
what is the colour of towel,green,image739
what is the colour of chair,red,image256
how many chairs are there,8,image1355
what is on the left side of the chair,vase,image1108
what is in front of the chair,stool,image404
what is to the right of the keyboard,bookshelf,image1089
what is the object under the bottle,water_cooler,image32
how many plants are there on the floor,3,image457
what are the things on the cabinets,photo,image1166
how many flower vases on window,4,image748
how many bottles of liquid are there,3,image738
what is found on the table,candlestick,image1396
what is on the left side of the picture,bookshelf,image1421
how many runners are in the shelf,5,image940
what is the object on the cd rack,cd_disc,image90
what is the colour of the bedding,white,image1059
what is to the right of the fireplace,sofa,image1224
what is on the holder beneath the sink,towel,image663
what is in front of the wall decoration,table,image1377
what is on the floor on the left side of the shelf,toy_truck,image442
what is the colour of the mat,red,image687
what is in the shelf,ping_pong_racket,image641
what are the things found in front of the flour mixer,papers,image887
what is behind the telephone,monitor,image30
what is above the flower,light,image824
what is the object on the floor,cabinet,image1153
what is found below the photo,cabinet,image1386
what is on the left most side on the table,lamp,image627
what is the object right of the sink,faucet,image651
what is on the table,"monitor, printer, flower, vase",image1386
what is in the right side part of the cabinet,oven,image1435
what is behind the bed,curtain,image1006
what is the object on the floor left of the window,stool,image1273
what is the colour of the pillow,blue,image998
what is behind the computer,window,image272
what is the colour of the bag on the chair,pink,image399
what is in front of the door,table,image1086
what is on the left most side on the table,monitor,image634
what is in front of the television,plate,image595
what color is the paper under the black frame on the floor,pink,image377
what is hanging on the hangers on the right side of the room,backpack,image309
what is the object right of the weighing machine,room_divider,image662
what is the object close to the cabinet,"sink, faucet",image509
what is on the bed,"pillow, toy",image937
what is on the table,"box, ipad",image599
what is the largest object,refridgerator,image134
what is to the right of the white colour sofa,lamp,image1429
how many pillows are there,1,image1136
what is hung on the wall in the right side,wall_decoration,image1017
what is the blue object on the floor close to the floor,garbage_bin,image123
what is on the drawer table,"book, clock",image531
what is the colour of the plant,green,image357
what is on the basin,hand_sanitizer,image48
what is present on the left side,table,image1032
how many towels are there,2,image709
how many chairs are there,1,image887
what is on the shelf,books,image259
what is on the left side of the bed,night_stand,image933
what are the objects on the boxes,books,image93
what is on the left side of first monitor,papers,image387
what is the colour of the sofa,red,image1249
what is the object on the blue box,bag,image1068
what is the object close to the wall above the sink,window,image561
what is on the right side of the table,white,image1140
what is the bookshelf covered with,glass_pane,image355
what is the largest object,sofa,image1329
how many drawer handles are there,6,image668
what is the object on the stool,lamp,image1029
what is kept on the white board,"duster, whiteboard_marker",image42
how many drawers are there,5,image1148
how many clothes stand are there in the front,4,image95
what are the objects close to the ceiling,spot_light,image88
what is on the right side of the tap,bottle_of_soap,image907
how many printers are there,2,image11
what are the objects on the table,books,image564
what is in front of the shelf,table,image239
what is below the picture to the right of the computer,tissue_box,image637
what is the colour of the bookshelf,white,image355
what is above the stove,microwave,image126
what is the object on the ground below the counter,dishwasher,image139
what is on the left side night stand,lamp,image1074
what is running above the wall clock,cables,image21
how many window splits are there,5,image794
how many flower vases on the table,1,image735
what is on the left side of the electric kettle,container,image844
what is stuck on the wall,photo,image1347
what is at the corner of the room,door,image1402
what is in front of the window,bed,image1052
how many stools are there,2,image1303
what is on the desk close to the bookshelf,book,image517
what are the objects on the bed,"pillow, blanket",image1092
how many large bottles are on the spice stand,7,image135
what is the largest object,bed,image998
what is above the sofa,picture,image202
what are the things on the piano,"photo, vase, sheet_music",image1278
what is on the right side of the cooking utensil,plate,image907
how many doors are open,1,image485
how many drawers are there,4,image898
what is on the table,"book, paper, bottle",image1259
what is beneath the black table,"stool, stool",image52
what is on the left side of the chair,table,image1210
how many drawer handles are seen,9,image1167
how many doors are open,1,image1315
how many cupboards found below,1,image771
how many small drawers are there,11,image719
what is the big object in the left side of the big black dresser,dresser,image530
what is the thing found below the right side window,faucet,image802
what is on the right most side on the table,carton,image451
what is in front of sink,towel,image709
what is the colour of the carton on the right side of the chair,blue,image401
what is on the left side of the oven,refridgerator,image797
what is in front of the window,baby_gate,image398
what is on the wall,blinds,image1025
how many pictures are there on the wall,4,image396
what is behind the chair,blinds,image828
what is on the bed,"bottle, pillow, comforter",image1033
what is to the left side of the sink,bathtub,image651
what is the object close to the door,door_knob,image1026
what are the objects on the bed,"pillow, blanket",image516
what is in front of the piano,piano_bench,image1282
what is to the left of the bed,table,image1097
how many doors are opened,2,image469
what is in front of the sofa,table,image1231
what color are the beds,white,image1128
what is behind the table,mirror,image596
how many pillows are there,3,image1174
what is the colour of the blinds,brown,image77
what is on the wall,picture,image1041
what is the largest round object in this picture,ottoman,image1299
what is the colour of the shelf,brown,image181
what is on the left side of the wall,door,image1025
what is to the right of the window,table,image1279
how many knobs are visible,6,image987
what are the objects hung close on the hangers,jacket,image96
what object is found on the right side,basketball,image966
what is in front of the washing machine,cloth_drying_stand,image407
how many monitors are there on the table,1,image782
which is the object on which the plant is placed,plant_pot,image404
what is on the left side of the framed certificate,printer,image389
what is on the wall,"television, picture",image1115
what is the colour of the door,brown,image643
what is to left of sink,door,image702
what color is the soft toy on the floor on the left side of the bed,"brown, white",image1035
what is the largest object,sofa,image1264
what is the largest object,sofa,image1333
what is on the left side of the sofa,dog,image1241
what is in front of the table,chair,image1061
what is kept on the sofa,jacket,image210
what is the candle holder by,incense_holder,image120
what is on the ride side of the door,shirts_in_hanger,image59
what is on the left side of the papers,paper_holder,image614
how many bowls are there in the shelf,5,image1285
what is present right next to the door,room_divider,image1026
what is on the door,decorative_plate,image1235
what is on the left side of the shaver,cream,image505
what is the object close to the wall,picture,image58
what is in the right side,mirror,image1295
how many drawers are open,1,image527
what is right of shelf,television,image262
what is in the right side,sofa,image1241
what are on the coffee table,"vase, books",image1267
what color is the garbage bin,white,image826
what is in front of the sofa,chair,image1264
what is on the left side of the suitcase,bag,image950
what are the objects on the bed,"pillow, blanket",image64
what is to the right of the sofa,table,image1258
how many red chairs are there,2,image1323
what is to right of toilet,sink,image701
what is above the ornamental plant,bottle,image902
what is found right to the floor mat,toys_rack,image1150
how many drawers are there,4,image1221
what is behind the book,printer,image553
what is the colour of the pillow,white,image1267
what is at the right side,cabinet,image1065
how many doors are there,1,image1037
what is the largest object,bookshelf,image51
what color is the dresser,brown,image1055
what are stuck on the wall,decorative_item,image1392
what is to the right of the photo,toys_shelf,image1363
how many drawer handles are on the left side of the armchair in this picture,3,image389
how many pictures are visible,5,image1400
what is on the table,paper,image301
what is hanged on the wall above the table,photo,image1305
what is on the table near the book,pen_stand,image358
what is on the right side,television,image1317
what is on the left side of the tap,"soap, soap_box",image660
what is at the corner of the shelf,bookshelf,image450
what is on the left most side on the table,clock,image923
how many picture frames are there on the table,3,image383
what is right of sofa,lamp,image268
what is on the handle,towel,image876
what is in the wall,picture,image289
what is the object close to the counter in which the vessels are kept,sink,image132
what is hanged in front of the window,blinds,image1420
what is on the wall,picture,image1026
how many pictures are there on the night stand,3,image1191
what is the table colour,brown,image1409
what are the objects on the bed,"pillow, blanket, bed_sheets",image79
what sre the objects in the shelf,"books, printer, cream, hair_brush",image67
how many papers are stuck on the wall,7,image11
what is in front of the piano,piano_bench,image1209
what is the object on the table in front of the lamp,file,image1021
what is on the brown table,printer,image24
what object is found to the right of the plastic tray,roll_of_paper_towels,image813
what are the objects on the rack in the second and third shelves,books,image67
what is the colour of wall,white,image504
what is on the corner of the shelves,globe,image312
what is to left of toilet,basket,image506
how many chairs are there,6,image1395
how many plates are in the dish rack,2,image130
what is to the left of the plant,cabinet,image1369
what is on the left most side on the table,picture,image475
how many square tables are there,1,image120
what color is the curtain,white,image1401
what is at the left bottom,chair,image1406
what is to the right of the stairs,sofa,image352
what is beneath the lamp,table,image1445
what is the colour of the vase,"pink, red, green, white",image619
what is to the right of the door,decoration_item,image1236
what are the things on the cabinet,"decoration_item, books",image1356
what is the object on the table in front of the laptop,mouse,image83
what object is found on the bed,pillow,image963
how many pillows are there,4,image924
what is the colour of the screen,red,image39
what is to the right of the sofa,treadmill,image1318
what is at the corner of the shelf,books,image639
what is the object on the counter in the corner,television,image877
what is in the basket on the right side of the toilet,magazine,image506
what is in front of the sofa,table,image1252
what is on the ping pong table,ping_pong_racket,image641
what is found on the top of the refridgerator,storage_rack,image884
what is under the piano,piano_bench,image1411
what is the colour of the cup,"white, blue",image98
what is behind the tap,window,image899
what is in between the papers,picture,image638
how many frames are there on the wall,2,image1408
what is to right of toilet,sink,image503
what is found on the right side,door,image962
what is the black object,chair,image536
what is behind the books on the table,decorative_plate,image1246
what is in front of the bed,table,image1080
what is at the back side of the sofas,window,image1429
what is the largest object on the table,monitor,image903
what is in front of the table,bed,image1119
what are the objects kept on the shelves,books,image108
what is in front of the bed,pillow,image1071
what are stuck on the wall,wall_decoration,image917
what is stuck on the wall of the left side,photo,image878
what is in front of the whiteboard,garbage_bin,image28
how many photos are there,3,image1427
what color is the lamp shade near the laptop on the table,red,image93
what are the objects on the bed,"pillow, blanket",image1147
what is in the rack,shoe,image601
what is the object close to the sink,faucet,image671
what is to the left of the sofa,table,image1233
what is the white object on the ground,ball,image425
what is near the papers,printer,image389
what is right of table,window,image286
what is in front of the door,cloth_bag,image967
what is on the top glass rack,decoration_item,image1437
what is in front of the door,ornamental_item,image681
what are the objects on the floor right of the pillar,shopping_baskets,image110
what is on the chair,clothes,image954
what is left of sink,garbage_bin,image507
how many tables are there,3,image473
what is in between the sofa,stool,image172
what is on the centre of blue table,pen_stand,image318
how many pillows are there,2,image1189
how many chairs are there around the table,9,image411
what is at the top right corner in the room,door,image1403
what is the object on the stool,television,image1138
how many mugs are there,7,image745
what is to the right of pillar,ladder,image109
what is on the sofa,"pillow, books",image372
what is on the wall,picture,image1015
what is left of chair,window,image264
what is the object on the floor in front of the wall,cabinet,image1065
what is in front of the chair,table,image1419
what is found in front of the window,bed,image1195
what is at the right side,bed,image1078
how many horizontally rectangular pictures are there,2,image1407
what is found to the right side of the door,bookshelf,image993
what is behind the computer,flag,image300
what is on the right side of the bookshelf,toy_house,image400
what is the object on the towel rod,towel,image718
what is the colour of the jeans the women wearing,blue,image467
what is on the right side of the frame,door,image1390
what is on the wall,picture,image949
what is in front of the wall,table,image1436
what is hanged before the window,blinds,image1373
what is right of table,shelves,image533
how many chairs can you see,2,image768
what is on the window seater,paper_rack,image153
what is the colour of roll of tissue paper,white,image728
what are the electronic gadgets in the picture,"laptop, printer",image57
what is on the wall,board,image326
what is on the left side of the bottle of liquid,sponge,image808
what is the object close to the wall above the sink,mirror,image499
what is found on the top of the window,photo,image992
what is on the floor mat,toy,image325
what is in front of the ornamental plant,cream_tube,image716
what is on the carton in front of the doll house,toy,image400
how many mirrors are there on the wall and next to the window,1,image990
what is to right of door,window,image594
what is on the left side of the table,ornamental_plant,image1270
what is the object close to the sink,faucet,image848
what is below the picture,sofa,image179
how many monitors are off in this picture,4,image334
what is the object on the floor right of the shelf,chair,image494
what is the object below the counter,dishwasher,image775
what is the object stuck close to the wall,wall_decoration,image106
what color are the walls,blue,image1381
what is right of table,bed,image528
what is under the piano,piano_bench,image1422
what is in front of the sofa,table,image1224
what is in front of the monitor,keyboard,image637
what is above the drawer,"framed_certificate, picture",image992
what is on the left side of the monitor,bottle_of_liquid,image635
what is the colour of the pillows,"pink, brown",image1117
what is beneath the sink,drawer,image908
how many drawers are there,4,image1362
what is at the right side,door,image1194
what is behind the sofa,window,image1284
what is in front of the curtain,cabinet,image1398
what is on the left to the paper on the piano,pen,image1306
what is on the right side of the photo stand,"cup, stand",image100
what is on the bed,"clothes, pillow",image1006
what is near to the window,treadmill,image349
what is behind the chair,board,image275
what is on bed,pillow,image540
how many chairs are there,3,image815
what is on the door,door_knob,image539
what is on the right side of the picture,bag,image975
how many lamps are there,2,image1347
what is in front of the table,bag,image387
what is the object on the racks that are close to the wall,photo,image989
what is found near the chair,garbage_bin,image1058
what colour is the pillow,red,image538
what are the objects on the bed,"blanket, pillow",image976
what is found behind the faucet,vase,image903
what is the colour of the largest picture,"red, blue, white",image1161
how many towel hangers are in the picture,2,image694
what is on the table,"tissue_box, remote_control",image419
what is on the rack,chair,image1173
what is blue in colour on the floor,purse,image949
what are the things on the table,papers,image1397
what is beneath the television,dvd_player,image912
what are found below the photos,"chair, toy",image1419
what is the object in the right side,photo,image976
what is on the right side of the blinds,picture,image969
what on the left side of the lamp,mirror,image1021
what is in the left,bookshelf,image104
what is the object on the floor right of the wall,cabinet,image973
what is below the photo,table,image1384
what is the colour of the base on which coffee machine is place,red,image881
what is the black object on the right side of the flipped table,chair,image28
what is on the dresser table,"paper, clothes",image1130
what is on the chair,"toy, bag",image399
what is on the right side of the bookshelf in front of the curtain,chair,image381
what is the object close to the wall,picture,image1093
how many lamps are there,1,image1443
what is the colour of the sofa,white,image757
what is on the table,"paper, basketball",image474
what is found on the floor,wire,image1090
how many chairs are on the right side of the table,3,image5
what is behind the curtain,bathtub,image498
how many knobs are there in the door,2,image1106
what is in front of the sofa,table,image1343
what is on table,"bag, vase",image270
what is on the right side of the faucet,bottle_of_hand_wash_liquid,image906
what is on the piano,glass_container,image1387
what is to the right side of the wall divider,ladder,image1055
what is colour of the painting on wall,"green, blue, yellow, red",image50
what is on the left side of the other television,curtain,image981
what is on the table,computer,image438
what is the colour of the lamp,"black, brown",image1029
how many photos stuck on the wall,2,image972
what is hanged on the ceiling,chandelier,image1364
what is at the top right corner,door,image1218
what is at the bottom of the photo,table,image1355
what is stuck on the wall,photo,image1277
what is above the bed,blinds,image1105
what is at the corner of the wall,lamp,image398
what is stuck on the wall,photo,image1319
what is behind the newspaper,ornamental_plant,image620
what are the objects found to the right side of the roll of paper towel,coffee_machine,image846
what is the colour of the poster board,brown,image9
what is in the left of the table,stroller,image1414
what is in front of the television,file_box,image377
what is on the wall,television,image935
what is at the centre of the room,game_table,image425
what is on the left side of the tap,cup,image670
what is above sink,bottle,image507
what is found on the right side,bed,image1144
what is found at the top left,window,image824
what is behind the shelf,window,image288
what is beneath the table,picture,image788
what is the colour of the object on the table left side of the cable,pink,image1044
what is found behind the chairs,cabinet,image1228
what is the object on the floor in front of the wall,cabinet,image1051
what is on the left side of the drawers,dishwasher,image796
what is on the desk behind the sofa,"flower, vase",image1252
what is to the right of the television,router,image164
what is the object on the window pane,plant,image736
what is to the right side of the floor mat,table,image1182
how many doors of the cupboard are open,1,image108
what is the orange colour object found,pillow,image958
what are the objects on the table,"monitor, keyboard, computer, wire, paper, mouse",image29
what is on the drawer,toiletries,image497
what is on the right side of the printer,whiteboard,image438
what is present near the corner of the room,window,image1024
what is beneath the picture,television,image1121
what is in front of mirror,clothes,image515
what is right of television,door,image579
what is on the left side of the poster board,picture,image843
what color are the chair seats around the table,red,image414
what is on the right side of the lamp,decorative_plate,image1358
what is to the left of the chair,piano,image478
what is on the night stand,lamp,image1029
what is near the telephone,file,image613
what is on the wall on the left side of the clock,curtain,image923
what are the objects on the shelves,books,image476
what is present on the wall to the right side of the door,light_switch,image1002
what is on the left side of the lamp,container,image1100
what is in front of the table,chair,image610
how many beds are there,2,image1186
how many blinds are there,1,image26
what color is the lamp shade in front of the window,white,image546
which equipment is the largest,refridgerator,image2
what are the things on the coffee table,books,image1444
what is in between the blinds,light,image786
what is found under the table,chair,image1177
what is in front of the door,chair,image208
what is on the right side of the bottle of hand wash liquid,plate,image834
what is the object on the floor right of the sofa,box,image486
what is left of the kitchen,"whiteboard, poster_board",image5
what are stuck on the wall,photo,image914
how many chairs are there,4,image746
what is the colour of the bath tub,white,image48
what is to the right of the sofa,table,image1239
what is in front of the window,sofa,image1269
what is the largest object,table,image26
what is on the wall,picture,image1277
what colour is the door,gray,image278
what is the object close to the counter,stove,image896
what are found in front of the window,"guitar, keyboard, microphone_stand",image1089
what is on the dark brown armchair on the right side of the door way,"pillow, backpack",image172
how many drawers are there,2,image777
what is right of table,window,image545
what is present in front of the plastic bag and cover,bicycle_helmet,image1028
what is on the top of the counter between the paper cups and the paper boxes,napkin_dispenser,image123
what is behind the photo,cabinet,image1390
what is on the left side of the television,light,image1338
what is on the wall,bookshelf,image52
what is stuck on the wall,lamp,image1338
how many beds are there,2,image1019
how many objects are there on the white blanket,1,image953
what is on the sofa,"pillow, clothes",image606
what is in between the chairs,table,image1238
how many racks are found fully visible in the bookshelf,4,image861
what is found in front of the table,chair,image1112
what is the object in the front,table,image1248
what is on the window,curtain,image544
what is behind the kitchen utensils,bottle_of_liquid,image775
what is the object left of the toilet,garbage_bin,image497
what is behind the door,suitcase,image998
how many televisions are there,1,image595
what is in front of table,shelves,image577
how many pens are on the counter,2,image453
what is behind the tricycle,window,image350
what is the biggest dark brown object,table,image1407
how many pillows on the bed,4,image1116
what is on the chair,bag,image781
how many knobs are visible,4,image686
what is on the right side of the tap,"soap, bottle_of_hand_wash_liquid",image722
what is to the left of the cpu,plastic_box,image421
what is the colour of the cabin,black,image25
what is in front of the shelf,chair,image34
what is on the ride side of the table,ladder,image17
how many chairs are visible,4,image381
what is behind the table,shelves,image645
how many chairs are there,8,image1415
what is in front of sofa,table,image268
what is on the floor,floor_mat,image1182
what is on the cabinet on the left side of the pot,toaster_oven,image145
what is near the sink,utensil_container,image573
how many sofas are there,2,image1331
what is the object on the window shelf,photo,image71
how many chair legs you can see,2,image754
what is beneath the piano,piano_bench,image1209
what objects are near the shutter window,"clothes, books, bag",image954
what is the object below the bed on the floor,cabinet,image1153
what is on the left side night stand,lamp,image1071
what is found below the mirror,cabinet,image1354
what is on the right side of the stove,electrical_kettle,image785
what is in front of the bed,cables,image1011
what is the colorful object containing white soaps on the left side of the sink,decorative_dish,image682
what is on the left side of the table,bookshelf,image964
what are the colours that are predominant,"brown, red, black",image87
what is at the bottom of the right photo,decoration_item,image1226
what is found on the table which is in front of the sofa,"plate, toy, book",image1246
what is the colour of the cot,black,image976
what is above the cupboards,books,image110
what is the object on the floor below the window,stool,image1119
what is stuck on the wall,photo,image1421
what is on the right side of the chair,bookshelf,image1170
what is the colour of the bowl,yellow,image751
what is on the shelf,cup,image98
what is on the left side of the lamp,books,image939
how many faucet handles are there,2,image682
what is in front of the chair on the table,newspapers,image822
what is in the corner of the room,shelves,image301
how many cables are visible,6,image25
what is the colour of the bathtub,white,image668
what is on the right side of the tap,bottle_of_liquid,image412
what is the red colour object found,tea_kettle,image874
what are stuck on the wall,"decorative_item, photo",image1325
how many pillows on the bed,2,image475
how many drawers are there,6,image1005
how many pillows are there,6,image1191
